DistrictID,District,Year,Type,SumOfTotal
321,Ugashik,1956,Catch,341499
321,Ugashik,1957,Catch,350858
321,Ugashik,1958,Catch,433813
321,Ugashik,1959,Catch,423414
321,Ugashik,1960,Catch,752634
321,Ugashik,1961,Catch,357223
321,Ugashik,1962,Catch,243159
321,Ugashik,1963,Catch,188695
321,Ugashik,1964,Catch,576768
321,Ugashik,1965,Catch,925690
321,Ugashik,1966,Catch,445458
321,Ugashik,1967,Catch,163744
321,Ugashik,1968,Catch,82457
321,Ugashik,1969,Catch,169845
321,Ugashik,1970,Catch,171541
321,Ugashik,1971,Catch,954068
321,Ugashik,1972,Catch,17440
321,Ugashik,1973,Catch,3920
321,Ugashik,1974,Catch,2151
321,Ugashik,1975,Catch,14558
321,Ugashik,1976,Catch,174923
321,Ugashik,1977,Catch,92623
321,Ugashik,1978,Catch,7995
321,Ugashik,1979,Catch,391118
321,Ugashik,1980,Catch,885875
321,Ugashik,1981,Catch,2116066
321,Ugashik,1982,Catch,1139192
321,Ugashik,1983,Catch,3349451
321,Ugashik,1984,Catch,2658376
321,Ugashik,1985,Catch,6468862
321,Ugashik,1986,Catch,5002949
321,Ugashik,1987,Catch,2128652
321,Ugashik,1988,Catch,1523520
321,Ugashik,1989,Catch,3146239
321,Ugashik,1990,Catch,2149009
321,Ugashik,1991,Catch,2945742
321,Ugashik,1992,Catch,3320966
321,Ugashik,1993,Catch,4176900
321,Ugashik,1994,Catch,4352797
321,Ugashik,1995,Catch,4509446
321,Ugashik,1996,Catch,4411055
321,Ugashik,1997,Catch,1402690
321,Ugashik,1998,Catch,730239
321,Ugashik,1999,Catch,2256007
321,Ugashik,2000,Catch,1538790
321,Ugashik,2001,Catch,480509
321,Ugashik,2002,Catch,1573234
321,Ugashik,2003,Catch,1748934
321,Ugashik,2004,Catch,3219420
321,Ugashik,2005,Catch,2216635
321,Ugashik,2006,Catch,2429597
321,Ugashik,2007,Catch,5026615
321,Ugashik,2008,Catch,2334022
321,Ugashik,2009,Catch,2555263
321,Ugashik,2010,Catch,4031832
321,Ugashik,2011,Catch,2643495
322,Egegik,1956,Catch,1187099
322,Egegik,1957,Catch,814459
322,Egegik,1958,Catch,500684
322,Egegik,1959,Catch,662391
322,Egegik,1960,Catch,1446884
322,Egegik,1961,Catch,2686076
322,Egegik,1962,Catch,638862
322,Egegik,1963,Catch,695582
322,Egegik,1964,Catch,1103935
322,Egegik,1965,Catch,3179559
322,Egegik,1966,Catch,2101174
322,Egegik,1967,Catch,1070942
322,Egegik,1968,Catch,671554
322,Egegik,1969,Catch,889322
322,Egegik,1970,Catch,1403509
322,Egegik,1971,Catch,1306682
322,Egegik,1972,Catch,839820
322,Egegik,1973,Catch,221337
322,Egegik,1974,Catch,172253
322,Egegik,1975,Catch,964024
322,Egegik,1976,Catch,1329788
322,Egegik,1977,Catch,1780567
322,Egegik,1978,Catch,1207294
322,Egegik,1979,Catch,2257332
322,Egegik,1980,Catch,2623066
322,Egegik,1981,Catch,4361406
322,Egegik,1982,Catch,2447514
322,Egegik,1983,Catch,6755256
322,Egegik,1984,Catch,5190413
322,Egegik,1985,Catch,7537273
322,Egegik,1986,Catch,4852935
322,Egegik,1987,Catch,5356669
322,Egegik,1988,Catch,6456598
322,Egegik,1989,Catch,8901994
322,Egegik,1990,Catch,10371762
322,Egegik,1991,Catch,6797166
322,Egegik,1992,Catch,15646575
322,Egegik,1993,Catch,21600858
322,Egegik,1994,Catch,10750213
322,Egegik,1995,Catch,14425979
322,Egegik,1996,Catch,10809115
322,Egegik,1997,Catch,7517389
322,Egegik,1998,Catch,3528845
322,Egegik,1999,Catch,7388080
322,Egegik,2000,Catch,7029397
322,Egegik,2001,Catch,2872662
322,Egegik,2002,Catch,4610374
322,Egegik,2003,Catch,2291502
322,Egegik,2004,Catch,11187680
322,Egegik,2005,Catch,8015950
322,Egegik,2006,Catch,7408233
322,Egegik,2007,Catch,6495908
322,Egegik,2008,Catch,7403885
322,Egegik,2009,Catch,11527462
322,Egegik,2010,Catch,5070816
322,Egegik,2011,Catch,4810362
324,Naknek_Kvichak,1956,Catch,5987750
324,Naknek_Kvichak,1957,Catch,4578643
324,Naknek_Kvichak,1958,Catch,922611
324,Naknek_Kvichak,1959,Catch,1689425
324,Naknek_Kvichak,1960,Catch,9847848
324,Naknek_Kvichak,1961,Catch,8166983
324,Naknek_Kvichak,1962,Catch,2281284
324,Naknek_Kvichak,1963,Catch,957902
324,Naknek_Kvichak,1964,Catch,2243701
324,Naknek_Kvichak,1965,Catch,19139567
324,Naknek_Kvichak,1966,Catch,5397538
324,Naknek_Kvichak,1967,Catch,2337200
324,Naknek_Kvichak,1968,Catch,1216858
324,Naknek_Kvichak,1969,Catch,4655072
324,Naknek_Kvichak,1970,Catch,17803805
324,Naknek_Kvichak,1971,Catch,5857378
324,Naknek_Kvichak,1972,Catch,1102365
324,Naknek_Kvichak,1973,Catch,168249
324,Naknek_Kvichak,1974,Catch,538163
324,Naknek_Kvichak,1975,Catch,3085416
324,Naknek_Kvichak,1976,Catch,2547276
324,Naknek_Kvichak,1977,Catch,2167214
324,Naknek_Kvichak,1978,Catch,5123668
324,Naknek_Kvichak,1979,Catch,14991826
324,Naknek_Kvichak,1980,Catch,15120457
324,Naknek_Kvichak,1981,Catch,10992809
324,Naknek_Kvichak,1982,Catch,5005802
324,Naknek_Kvichak,1983,Catch,21559372
324,Naknek_Kvichak,1984,Catch,14546710
324,Naknek_Kvichak,1985,Catch,8095015
324,Naknek_Kvichak,1986,Catch,2872179
324,Naknek_Kvichak,1987,Catch,4685842
324,Naknek_Kvichak,1988,Catch,3224900
324,Naknek_Kvichak,1989,Catch,12928107
324,Naknek_Kvichak,1990,Catch,16237762
324,Naknek_Kvichak,1991,Catch,9978474
324,Naknek_Kvichak,1992,Catch,9137080
324,Naknek_Kvichak,1993,Catch,8338444
324,Naknek_Kvichak,1994,Catch,15079254
324,Naknek_Kvichak,1995,Catch,18966276
324,Naknek_Kvichak,1996,Catch,7962914
324,Naknek_Kvichak,1997,Catch,362889
324,Naknek_Kvichak,1998,Catch,2376081
324,Naknek_Kvichak,1999,Catch,8667582
324,Naknek_Kvichak,2000,Catch,3520868
324,Naknek_Kvichak,2001,Catch,2310559
324,Naknek_Kvichak,2002,Catch,35058
324,Naknek_Kvichak,2003,Catch,286515
324,Naknek_Kvichak,2004,Catch,3732497
324,Naknek_Kvichak,2005,Catch,1911840
324,Naknek_Kvichak,2006,Catch,4562198
324,Naknek_Kvichak,2007,Catch,4728453
324,Naknek_Kvichak,2008,Catch,9663078
324,Naknek_Kvichak,2009,Catch,7766953
324,Naknek_Kvichak,2010,Catch,9874251
324,Naknek_Kvichak,2011,Catch,8382249
325,Nushagak,1956,Catch,1303186
325,Nushagak,1957,Catch,441498
325,Nushagak,1958,Catch,1092156
325,Nushagak,1959,Catch,1719687
325,Nushagak,1960,Catch,1517988
325,Nushagak,1961,Catch,455003
325,Nushagak,1962,Catch,1446786
325,Nushagak,1963,Catch,822954
325,Nushagak,1964,Catch,1391790
325,Nushagak,1965,Catch,793323
325,Nushagak,1966,Catch,1170272
325,Nushagak,1967,Catch,657711
325,Nushagak,1968,Catch,749281
325,Nushagak,1969,Catch,773207
325,Nushagak,1970,Catch,1188534
325,Nushagak,1971,Catch,1256799
325,Nushagak,1972,Catch,355760
325,Nushagak,1973,Catch,259578
325,Nushagak,1974,Catch,489163
325,Nushagak,1975,Catch,572351
325,Nushagak,1976,Catch,1224380
325,Nushagak,1977,Catch,561380
325,Nushagak,1978,Catch,3025542
325,Nushagak,1979,Catch,3142475
325,Nushagak,1980,Catch,4351563
325,Nushagak,1981,Catch,7257071
325,Nushagak,1982,Catch,5753050
325,Nushagak,1983,Catch,4948486
325,Nushagak,1984,Catch,1957468
325,Nushagak,1985,Catch,1206454
325,Nushagak,1986,Catch,2565300
325,Nushagak,1987,Catch,3122334
325,Nushagak,1988,Catch,1654104
325,Nushagak,1989,Catch,2549298
325,Nushagak,1990,Catch,3223214
325,Nushagak,1991,Catch,4679068
325,Nushagak,1992,Catch,2789741
325,Nushagak,1993,Catch,5213780
325,Nushagak,1994,Catch,3150870
325,Nushagak,1995,Catch,3952963
325,Nushagak,1996,Catch,5365945
325,Nushagak,1997,Catch,2006947
325,Nushagak,1998,Catch,2696125
325,Nushagak,1999,Catch,3990413
325,Nushagak,2000,Catch,4873409
325,Nushagak,2001,Catch,4536101
325,Nushagak,2002,Catch,2259501
325,Nushagak,2003,Catch,6533865
325,Nushagak,2004,Catch,6219633
325,Nushagak,2005,Catch,6965059
325,Nushagak,2006,Catch,10698095
325,Nushagak,2007,Catch,8162198
325,Nushagak,2008,Catch,6567270
325,Nushagak,2009,Catch,7415689
325,Nushagak,2010,Catch,6893187
325,Nushagak,2011,Catch,4518806
321,Ugashik,2012,Catch,2418596
322,Egegik,2012,Catch,4998273
324,Naknek_Kvichak,2012,Catch,9296022
325,Nushagak,2012,Catch,2217346
321,Ugashik,2013,Catch,2168190
322,Egegik,2013,Catch,4778479
324,Naknek_Kvichak,2013,Catch,4464741
325,Nushagak,2013,Catch,3012271
321,Ugashik,2014,Catch,1472367
322,Egegik,2014,Catch,6944923
324,Naknek_Kvichak,2014,Catch,12684537
325,Nushagak,2014,Catch,5532166
321,Ugashik,2015,Catch,5473786
322,Egegik,2015,Catch,8470567
324,Naknek_Kvichak,2015,Catch,15341998
325,Nushagak,2015,Catch,4996070
321,Ugashik,2016,Catch,6631116
322,Egegik,2016,Catch,8740030
324,Naknek_Kvichak,2016,Catch,12403630
325,Nushagak,2016,Catch,7268141
321,Ugashik,2017,Catch,5706751
322,Egegik,2017,Catch,11981519
324,Naknek_Kvichak,2017,Catch,5925905
325,Nushagak,2017,Catch,11388119
321,Ugashik,2018,Catch,2772643
322,Egegik,2018,Catch,5151129
324,Naknek_Kvichak,2018,Catch,5864217
325,Nushagak,2018,Catch,22790385
321,Ugashik,2019,Catch,1038188
322,Egegik,2019,Catch,14687147
324,Naknek_Kvichak,2019,Catch,8565053
325,Nushagak,2019,Catch,14101488
321,Ugashik,2020,Catch,2622792
322,Egegik,2020,Catch,13423661
324,Naknek_Kvichak,2020,Catch,11707775
325,Nushagak,2020,Catch,8428885
321,Ugashik,2021,Catch,5205876
322,Egegik,2021,Catch,8553483
324,Naknek_Kvichak,2021,Catch,6997084
325,Nushagak,2021,Catch,17149165
